product_id,title,status,date,end_time,sport,doubles,slots,participants_count,gameplan_state,club_name
07YlWzqhh1G33f,SUNDAY RANKED 📈 to 1100,instance,2026-02-09 14:00:00,15:30:00,padel,True,4,4,ended,V7 Padel Antalya
1mxSHjJETEKEHl,FRIDAY 🏆 PREMIER 🏆,instance,,,padel,True,16,14,signup,V7 Padel Antalya
1xSGQ8njECykYI,LADY'S RANKED,program,2026-03-04 12:00:00,14:00:00,padel,True,12,1,signup,V7 Padel Antalya
1xSGQ8njECykYI_2026-03-04,LADY'S RANKED,instance,2026-03-04 12:00:00,14:00:00,padel,True,8,8,ended,V7 Padel Antalya
1xSGQ8njECykYI_2026-03-11,LADY'S RANKED,instance,2026-03-11 18:30:00,20:30:00,padel,True,12,12,ended,V7 Padel Antalya
1xSGQ8njECykYI_2026-03-18,LADY'S RANKED,instance,2026-03-18 12:00:00,14:00:00,padel,True,16,16,ended,V7 Padel Antalya
22CBfE0RmHoNEG,SATURDAY RANKED 1300+ 📈 ,instance,2026-01-24 12:00:00,14:30:00,padel,True,8,2,signup,V7 Padel Antalya
2YrJdduGLnPZ8O,V7 Rookie Series,program,2025-09-20 10:00:00,11:30:00,padel,True,8,1,signup,V7 Padel Antalya
34ncmluWnD7PCp,THURSDAY RANKED 📈 900 - 1099,program,2026-01-08 10:00:00,11:30:00,padel,True,8,6,signup,V7 Padel Antalya
34ncmluWnD7PCp_2026-01-08,THURSDAY RANKED 📈 900 - 1099,instance,2026-01-08 10:00:00,11:30:00,padel,True,8,8,ended,V7 Padel Antalya
34ncmluWnD7PCp_2026-01-15,THURSDAY RANKED 📈 900 - 1099,instance,2026-01-15 10:00:00,11:30:00,padel,True,8,8,ended,V7 Padel Antalya
34ncmluWnD7PCp_2026-01-29,THURSDAY RANKED 📈 900 - 1099,instance,2026-01-29 10:00:00,11:30:00,padel,True,8,4,signup,V7 Padel Antalya
34ncmluWnD7PCp_2026-02-12,THURSDAY RANKED 📈 900 - 1099,instance,2026-02-12 10:00:00,11:30:00,padel,True,8,8,scheduled,V7 Padel Antalya
34ncmluWnD7PCp_2026-02-26,THURSDAY RANKED 📈 900 - 1099,instance,2026-02-26 10:00:00,11:30:00,padel,True,8,2,signup,V7 Padel Antalya
3b0Exx8SVmjgmW,⚡ POWER DUO ⚡,program,2025-11-15 18:00:00,19:30:00,padel,True,8,1,signup,V7 Padel Antalya
4d3zxAWvXjDYeY,SATURDAY RANKED 📈 1300+,instance,2026-02-14 12:00:00,14:30:00,padel,True,8,1,signup,V7 Padel Antalya
4iqsSOVrUKOR1Q,2 Корзинка,instance,2025-12-09 14:00:00,16:30:00,padel,True,8,8,ended,V7 Padel Antalya
5buezBilw5U5Qc,V7 Rookie Series,program,2025-09-15 11:00:00,12:30:00,padel,True,8,1,signup,V7 Padel Antalya
5buezBilw5U5Qc_2025-09-15,V7 Rookie Series,instance,2025-09-15 16:30:00,18:00:00,padel,True,8,8,ended,V7 Padel Antalya
69NHLBYJVqMyp8,V7 MORNING BEGINNERS 🌞,instance,,,padel,True,8,8,signup,V7 Padel Antalya
6MYX6p5DU9NGOH,MIXED PAIR AMERICANO,program,2026-03-20 14:00:00,16:30:00,padel,True,8,3,signup,V7 Padel Antalya
6MYX6p5DU9NGOH_2026-03-20,MIXED PAIR AMERICANO,instance,2026-03-20 19:00:00,21:30:00,padel,True,8,8,ended,V7 Padel Antalya
6MYX6p5DU9NGOH_2026-03-27,MIXED PAIR AMERICANO,instance,2026-03-27 19:00:00,21:30:00,padel,True,8,8,ended,V7 Padel Antalya
6MYX6p5DU9NGOH_2026-04-03,MIXED PAIR AMERICANO,instance,2026-04-03 19:00:00,21:30:00,padel,True,8,8,ended,V7 Padel Antalya
6MYX6p5DU9NGOH_2026-04-10,MIXED PAIR AMERICANO,instance,2026-04-10 14:00:00,16:30:00,padel,True,8,8,ended,V7 Padel Antalya
6MYX6p5DU9NGOH_2026-04-17,MIXED PAIR AMERICANO,instance,2026-04-17 14:00:00,16:30:00,padel,True,8,2,signup,V7 Padel Antalya
6MYX6p5DU9NGOH_2026-04-24,MIXED PAIR AMERICANO,instance,2026-04-24 14:00:00,16:30:00,padel,True,8,3,signup,V7 Padel Antalya
6X9jsNSJSsQzTq,THURSDAY RANKED 📈 900 - 1099,instance,2025-12-04 10:00:00,11:30:00,padel,True,12,8,ended,V7 Padel Antalya
6j6QlU27lSFwJY,Morning Coffee ☕️,program,2025-09-19 09:00:00,10:30:00,padel,True,8,3,signup,V7 Padel Antalya
6j6QlU27lSFwJY_2025-09-19,Morning Coffee ☕️,instance,2025-09-19 09:00:00,10:30:00,padel,True,8,8,ended,V7 Padel Antalya
6j6QlU27lSFwJY_2025-10-03,Morning Coffee ☕️,instance,2025-10-03 10:00:00,11:30:00,padel,True,8,8,ended,V7 Padel Antalya
7MTdr1N2fl62xm,Friendly match,instance,2026-02-09 13:00:00,14:30:00,padel,True,4,4,started,
8lXLsaFHDEiQju,5 o’clock Padel&tea ,instance,2026-02-04 17:00:00,19:00:00,padel,True,16,16,ended,V7 Padel Antalya
9N4ZMEUFLNjPqs,👨‍👩‍👧‍👦 Family Team Americano,instance,2025-10-11 11:00:00,12:30:00,padel,True,8,8,ended,V7 Padel Antalya
9VEpmWblk3Jg8H,"Play Hard, Eat Burger",instance,2026-02-27 17:00:00,19:00:00,padel,True,8,2,signup,V7 Padel Antalya
AQYW3cFYGeK8v0,SUNDAY RANKED 📈 1100+,program,2026-04-12 10:00:00,12:30:00,padel,True,16,2,signup,V7 Padel Antalya
AQYW3cFYGeK8v0_2026-04-12,PREMIER RANKED 1100+ ,instance,2026-04-12 10:00:00,12:30:00,padel,True,16,16,ended,V7 Padel Antalya
AQYW3cFYGeK8v0_2026-04-19,SUNDAY RANKED 📈 1100+,instance,2026-04-19 10:00:00,12:30:00,padel,True,16,3,signup,V7 Padel Antalya
AVGiQlCw24kajk,EVENING AMERICANO 900–1100 🏆,program,2026-04-07 19:00:00,21:30:00,padel,True,8,3,signup,V7 Padel Antalya
AVGiQlCw24kajk_2026-04-07,EVENING AMERICANO 900–1100 🏆,instance,2026-04-07 19:00:00,21:30:00,padel,True,8,8,ended,V7 Padel Antalya
AVGiQlCw24kajk_2026-04-14,EVENING AMERICANO 900–1100 🏆,instance,2026-04-14 19:00:00,21:30:00,padel,True,8,7,signup,V7 Padel Antalya
AZkhAsytoL0Xjl,LADY’S RANKED,program,2025-12-24 12:00:00,14:00:00,padel,True,16,9,signup,V7 Padel Antalya
AZkhAsytoL0Xjl_2025-12-24,LADY’S RANKED,instance,2025-12-24 13:00:00,14:30:00,padel,True,8,1,signup,V7 Padel Antalya
AZkhAsytoL0Xjl_2025-12-31,LADY’S RANKED,instance,2025-12-31 13:00:00,14:30:00,padel,True,8,1,signup,V7 Padel Antalya
AZkhAsytoL0Xjl_2026-01-07,LADY’S RANKED,instance,2026-01-07 13:00:00,14:30:00,padel,True,8,8,ended,V7 Padel Antalya
AZkhAsytoL0Xjl_2026-01-14,LADY’S RANKED,instance,2026-01-14 12:00:00,13:30:00,padel,True,12,12,ended,V7 Padel Antalya
AZkhAsytoL0Xjl_2026-01-21,LADY’S RANKED,instance,2026-01-21 12:00:00,14:00:00,padel,True,16,16,ended,V7 Padel Antalya
AZkhAsytoL0Xjl_2026-01-28,LADY’S RANKED,instance,2026-01-28 12:00:00,14:00:00,padel,True,16,3,signup,V7 Padel Antalya
AyOZZ5RBKXAtwn,MORNING COFFEE,program,2026-03-20 10:00:00,12:00:00,padel,True,16,3,signup,V7 Padel Antalya
AyOZZ5RBKXAtwn_2026-03-20,FRIDAY MORNING COFFEE,instance,2026-03-20 10:00:00,12:00:00,padel,True,12,12,ended,V7 Padel Antalya
AyOZZ5RBKXAtwn_2026-03-27,MORNING COFFEE,instance,2026-03-27 10:00:00,12:00:00,padel,True,16,16,ended,V7 Padel Antalya
AyOZZ5RBKXAtwn_2026-04-03,MORNING COFFEE,instance,2026-04-03 10:00:00,12:00:00,padel,True,16,16,ended,V7 Padel Antalya
AyOZZ5RBKXAtwn_2026-04-17,MORNING COFFEE,instance,2026-04-17 10:00:00,12:00:00,padel,True,16,13,signup,V7 Padel Antalya
AyOZZ5RBKXAtwn_2026-04-24,MORNING COFFEE,instance,2026-04-24 10:00:00,12:00:00,padel,True,16,3,signup,V7 Padel Antalya
B3oSdNOZIkY7NH,SATURDAY RANKED 1300+,instance,2026-01-17 12:00:00,14:30:00,padel,True,8,8,ended,V7 Padel Antalya
B8wqBSTVdzIWsL,V7 MORNING BEGINNERS 🌞,instance,,,padel,True,8,2,signup,V7 Padel Antalya
BrLvbuTdS9NDFT,PAIR AMERICANO 🏆,program,2026-03-18 14:00:00,16:30:00,padel,True,8,2,signup,V7 Padel Antalya
BrLvbuTdS9NDFT_2026-03-25,PAIR AMERICANO 🏆,instance,2026-03-25 14:00:00,16:30:00,padel,True,8,8,ended,V7 Padel Antalya
BrLvbuTdS9NDFT_2026-04-08,PAIR AMERICANO 🏆,instance,2026-04-08 14:00:00,16:30:00,padel,True,8,8,ended,V7 Padel Antalya
BrLvbuTdS9NDFT_2026-04-15,PAIR AMERICANO 🏆,instance,2026-04-15 14:00:00,16:30:00,padel,True,8,8,signup,V7 Padel Antalya
BrLvbuTdS9NDFT_2026-04-22,PAIR AMERICANO 🏆,instance,2026-04-22 14:00:00,16:30:00,padel,True,8,3,signup,V7 Padel Antalya
BrLvbuTdS9NDFT_2026-04-29,PAIR AMERICANO 🏆,instance,2026-04-29 14:00:00,16:30:00,padel,True,8,3,signup,V7 Padel Antalya
CANu4tEOVCoXNK,PREMIER RANKED 1100+ 🔥,instance,2026-04-05 10:00:00,12:30:00,padel,True,16,16,ended,V7 Padel Antalya
CP88S258kCc3Bm,V7 MORNING BEGINNERS,instance,2026-02-17 10:00:00,11:30:00,padel,True,8,7,signup,V7 Padel Antalya
CcbqzsDlcCUDTV,☕️ Morning Coffee,instance,2025-10-10 10:00:00,11:30:00,padel,True,8,8,ended,V7 Padel Antalya
CdvyHheyrgHwtS,FRIDAY RANKED 📈 1100+,program,2025-10-17 18:00:00,20:00:00,padel,True,8,1,signup,V7 Padel Antalya
